Source,Target,BDeu,TSource,TTarget
AT2G43140.2,AT5G12870.1,-9.88751059812842,AT2G43140,AT5G12870
AT2G36080.1,AT4G25470.1,-9.88751059812843,AT2G36080,AT4G25470
AT2G47890.2,AT1G29160.1,-9.88751059812843,AT2G47890,AT1G29160
AT2G43140.2,AT1G66140.1,-9.88751059812843,AT2G43140,AT1G66140
AT1G17310.1,AT2G25820.1,-9.88751059812843,AT1G17310,AT2G25820
AT2G36080.1,AT3G60630.1,-9.88751059812843,AT2G36080,AT3G60630
AT3G11580.2,AT1G56650.1,-29.6625317941544,AT3G11580,AT1G56650
AT5G51780.1,AT1G56650.1,-29.6625317941544,AT5G51780,AT1G56650
AT3G11580.2,AT1G74500.1,-29.6625317941544,AT3G11580,AT1G74500
AT5G51780.1,AT1G74500.1,-29.6625317941544,AT5G51780,AT1G74500
AT1G17310.1,AT2G22430.1,-29.6625317941544,AT1G17310,AT2G22430
AT5G17810.1,AT2G22430.1,-29.6625317941544,WOX12,AT2G22430
AT3G11580.2,AT2G40970.1,-29.6625317941544,AT3G11580,MYBC1
AT5G51780.1,AT2G40970.1,-29.6625317941544,AT5G51780,MYBC1
AT1G53230.1,AT3G02940.1,-29.6625317941544,AT1G53230,AT3G02940
AT5G64750.1,AT3G02940.1,-29.6625317941544,AT5G64750,AT3G02940
AT3G11580.2,AT3G03450.1,-29.6625317941544,AT3G11580,RGL2
AT5G51780.1,AT3G03450.1,-29.6625317941544,AT5G51780,RGL2
AT3G11580.2,AT3G17600.1,-29.6625317941544,AT3G11580,AT3G17600
AT5G51780.1,AT3G17600.1,-29.6625317941544,AT5G51780,AT3G17600
AT3G11580.2,AT3G27650.1,-29.6625317941544,AT3G11580,AT3G27650
AT5G51780.1,AT3G27650.1,-29.6625317941544,AT5G51780,AT3G27650
AT3G11580.2,AT3G56970.1,-29.6625317941544,AT3G11580,bHLH38
AT5G51780.1,AT3G56970.1,-29.6625317941544,AT5G51780,bHLH38
AT3G11580.2,AT4G00150.1,-29.6625317941544,AT3G11580,AT4G00150
AT5G51780.1,AT4G00150.1,-29.6625317941544,AT5G51780,AT4G00150
AT3G11580.2,AT4G01250.1,-29.6625317941544,AT3G11580,WRKY22
AT5G51780.1,AT4G01250.1,-29.6625317941544,AT5G51780,WRKY22
AT3G11580.2,AT4G06746.1,-29.6625317941544,AT3G11580,AT4G06746
AT5G51780.1,AT4G06746.1,-29.6625317941544,AT5G51780,AT4G06746
AT3G11580.2,AT4G14540.1,-29.6625317941544,AT3G11580,AT4G14540
AT5G51780.1,AT4G14540.1,-29.6625317941544,AT5G51780,AT4G14540
AT3G11580.2,AT4G27900.1,-29.6625317941544,AT3G11580,AT4G27900
AT5G51780.1,AT4G27900.1,-29.6625317941544,AT5G51780,AT4G27900
AT3G11580.2,AT4G27900.2,-29.6625317941544,AT3G11580,AT4G27900
AT5G51780.1,AT4G27900.2,-29.6625317941544,AT5G51780,AT4G27900
AT3G11580.2,AT4G29080.1,-29.6625317941544,AT3G11580,AT4G29080
AT5G51780.1,AT4G29080.1,-29.6625317941544,AT5G51780,AT4G29080
AT3G11580.2,AT4G39780.1,-29.6625317941544,AT3G11580,AT4G39780
AT5G51780.1,AT4G39780.1,-29.6625317941544,AT5G51780,AT4G39780
AT3G11580.2,AT5G19790.1,-29.6625317941544,AT3G11580,AT5G19790
AT5G51780.1,AT5G19790.1,-29.6625317941544,AT5G51780,AT5G19790
AT3G11580.2,AT5G22890.1,-29.6625317941544,AT3G11580,AT5G22890
AT5G51780.1,AT5G22890.1,-29.6625317941544,AT5G51780,AT5G22890
AT3G11580.2,AT5G25890.1,-29.6625317941544,AT3G11580,IAA28
AT5G51780.1,AT5G25890.1,-29.6625317941544,AT5G51780,IAA28
AT3G11580.2,AT5G58010.1,-29.6625317941544,AT3G11580,LRL3
AT5G51780.1,AT5G58010.1,-29.6625317941544,AT5G51780,LRL3
AT3G02550.1,AT1G08320.2,-29.6625317941544,AT3G02550,AT1G08320
AT5G57520.1,AT1G08320.2,-29.6625317941544,AT5G57520,AT1G08320
AT1G53230.1,AT1G52830.1,-29.6625317941544,AT1G53230,AT1G52830
AT5G57520.1,AT1G52830.1,-29.6625317941544,AT5G57520,AT1G52830
AT1G47760.1,AT1G49130.1,-55.5787544819966,AT1G47760,AT1G49130
AT5G57520.1,AT1G49130.1,-55.5787544819966,AT5G57520,AT1G49130
AT2G36080.1,AT1G01380.1,-57.593657502534,AT2G36080,AT1G01380
AT2G46990.1,AT1G01380.1,-57.593657502534,IAA20,AT1G01380
AT2G43140.2,AT1G72360.3,-59.7684092240083,AT2G43140,AT1G72360
AT3G02550.1,AT1G72360.3,-59.7684092240083,AT3G02550,AT1G72360
AT2G43140.2,AT1G72360.1,-59.7684092240083,AT2G43140,AT1G72360
AT3G02550.1,AT1G72360.1,-59.7684092240083,AT3G02550,AT1G72360
AT2G43140.2,AT1G72360.2,-59.7684092240083,AT2G43140,AT1G72360
AT3G02550.1,AT1G72360.2,-59.7684092240083,AT3G02550,AT1G72360
AT3G11580.2,AT2G37740.1,-84.4653916353963,AT3G11580,AT2G37740
AT5G51780.1,AT2G37740.1,-84.4653916353963,AT5G51780,AT2G37740
AT3G58710.1,AT2G22770.1,-88.0852782180156,WRKY69,AT2G22770
AT5G17810.2,AT2G22770.1,-88.0852782180156,WOX12,AT2G22770
